id,phase,area,atomic_goal,acceptance_criteria,dependencies,suggested_tests,priority,complexity,notes
D2-000,0 - Baseline,Scope/Safety,Add a short project scope note stating v2 is simulation-only and uses non-destructive tracking/capture-radius success semantics.,"README or docs include: simulation-only; no payload/weapon behavior; success means proximity/track hold, not impact or damage.",,Docs grep confirms terms exist.,P0,S,
D2-001,0 - Baseline,Repo Hygiene,Create a feature branch named drone-intercept-3d-v2 or equivalent.,Git branch exists and current work is isolated from main.,,git status and git branch confirm branch.,P0,S,
D2-002,0 - Baseline,Repo Hygiene,Snapshot the current successful environment behavior before changing v2 code.,Existing env can still be run or a checkpoint/commit/tag preserves the known-good state.,D2-001,Run previous env smoke test.,P0,S,
D2-003,0 - Baseline,Repo Hygiene,Create a v2 implementation area without breaking v1.,New files/classes use v2 names; v1 imports/tests continue to pass.,D2-002,Run all existing tests or import checks.,P0,S,
D2-004,0 - Baseline,Dependencies,Document required Python packages for Gymnasium/PufferLib training and rendering.,"requirements/README lists gymnasium, numpy, pytest, optional matplotlib/render extras, and any existing project deps.",,Fresh environment install instructions are present.,P1,S,
D2-005,0 - Baseline,Definition of Done,Add a short Definition of Done checklist for every atomic task.,"Checklist includes tests, deterministic seeding, no regressions, and readable docs for changed behavior.",,Docs contain a reusable DoD checklist.,P1,S,
D2-010,1 - Env Contract,Config,Create a DroneIntercept3DConfig dataclass or equivalent config object.,"Config centralizes world bounds, dt, max steps, drone limits, target limits, obstacle counts, sensor ranges, reward weights, and curriculum level.",D2-003,Unit test default config values are importable and sane.,P0,M,
D2-011,1 - Env Contract,Config,Add deterministic random seed handling for reset and obstacle generation.,"Same seed creates same agent spawn, target spawn, and obstacle layout.",D2-010,Reset twice with same seed and compare generated state.,P0,M,
D2-012,1 - Env Contract,Gymnasium,"Register a new environment id, e.g. DroneIntercept3D-v2, without replacing v1.",gymnasium.make or project factory can instantiate v2; v1 still works.,"D2-003,D2-010",Smoke test env creation for v1 and v2.,P0,S,
D2-013,1 - Env Contract,Action Space,Define the v2 action space as normalized continuous controls.,"Action space supports bounded acceleration/thrust commands and yaw-rate command, all in [-1, 1].",D2-010,action_space.sample passes step without shape/type errors.,P0,M,
D2-014,1 - Env Contract,Observation Space,Define a stable observation vector schema and document every index.,"Observation schema includes self kinematics, target visibility fields, last-seen fields, obstacle rays, and timing fields.",D2-010,Observation shape matches observation_space; docs list indices.,P0,M,
