Task ID,Phase,Goal,Codex Instruction,Files/Areas,Acceptance Criteria,Verification Command,Dependencies,Priority,Status,Notes
T001,0 - Project Scan,Inspect repo structure,Inspect the existing repo structure and identify where a custom Gymnasium environment should live without forcing a new layout.,repo root,A short note exists in implementation summary explaining chosen file locations.,tree -L 3 or equivalent,,High,Completed,Do not move unrelated files.
T002,0 - Project Scan,Confirm dependencies,"Check pyproject/requirements and add only minimal dependencies needed for gymnasium env, numpy, pygame, pytest, and optional stable-baselines3 checker.",pyproject.toml / requirements.txt,Dependencies are minimal and importable; no heavy simulator/game engine added.,"python -c ""import gymnasium, numpy, pygame, pytest""",T001,High,Completed,"If SB3 is already absent, add it only if project allows it; otherwise make checker optional."
T003,0 - Project Scan,Create task notes,Create or update a lightweight implementation notes file listing assumptions and commands.,docs/ or root README section,"Notes include env id, commands, and known limitations.",cat docs/drone_intercept_3d_notes.md,T001,Medium,Completed,Keep concise.
T004,1 - Env Skeleton,Create package skeleton,Create the DroneIntercept3DEnv package/module structure fitting the repo style.,drone_env/envs/drone_intercept_3d.py,Environment imports cleanly from package.,"python -c ""from drone_env.envs.drone_intercept_3d import DroneIntercept3DEnv""",T001,High,Completed,Use existing package if one exists.
T005,1 - Env Skeleton,Add config dataclass,"Add a dataclass for all tunable parameters: world size, speeds, accel, dt, capture radius, max steps, reward weights, render size.",drone_intercept_3d.py or config.py,All major knobs are editable from one config object.,"python - <<'PY'
from drone_env.envs.drone_intercept_3d import DroneIntercept3DConfig
print(DroneIntercept3DConfig())
PY",T004,High,Completed,No magic constants scattered through step().
T006,1 - Env Skeleton,Define action space,"Implement continuous 3D acceleration action space Box(-1, 1, shape=(3,)).",DroneIntercept3DEnv.__init__,"action_space shape is (3,), dtype float32, bounded [-1, 1].","python - <<'PY'
from drone_env.envs.drone_intercept_3d import DroneIntercept3DEnv
env=DroneIntercept3DEnv(); print(env.action_space)
PY",T004,High,Completed,Clip incoming actions in step.
T007,1 - Env Skeleton,Define observation space,"Implement 20-dimensional normalized observation vector with pursuer/target pos/vel, relative pos/vel, distance, previous distance.","DroneIntercept3DEnv.__init__, _get_obs","Observation shape is (20,), finite, float32.",pytest -q tests/test_drone_intercept_3d.py::test_reset_returns_valid_obs,T004,High,Completed,Normalize positions and velocities.
T008,1 - Env Skeleton,Register environment,Register DroneIntercept3D-v0 with Gymnasium so gym.make can instantiate it.,drone_env/__init__.py,gymnasium.make('DroneIntercept3D-v0') works after importing package.,"python - <<'PY'
import gymnasium as gym, drone_env
env=gym.make('DroneIntercept3D-v0')
print(env)
PY",T004,Medium,Completed,Avoid duplicate registration crash on repeated imports.
T009,2 - State Reset,Implement deterministic seeding,Use Gymnasium-compatible seeding through reset(seed=...).,reset,Same seed gives same initial state.,pytest -q tests/test_drone_intercept_3d.py::test_seed_reproducibility,T007,High,Completed,Use self.np_random.
T010,2 - State Reset,Spawn pursuer safely,"Spawn pursuer within world bounds, above floor, away from target.",reset,Pursuer z > safe_min_z and within bounds.,pytest -q tests/test_drone_intercept_3d.py::test_reset_spawns_in_bounds,T009,High,Completed,Avoid floor-start crash.
