task_id,phase,title,objective,codex_instruction,files_to_touch,depends_on,acceptance_criteria,verification_command,priority,status,notes
DVF-001,Design Guardrails,Read existing env before editing,"Understand the current 3D drone environment, reward function, render code, scripts, and tests before changing behavior.","Inspect the existing environment implementation and identify the exact files that define reset, step, reward, termination, rendering, scripts, and tests. Do not rewrite working code unnecessarily.",No edits unless adding notes to planning/status file,,"Codex can summarize current env structure and knows where interception, reward, observation, and rendering logic live.",ls && find . -maxdepth 4 -type f | sort,P0,done,"Inspected env, geometry, rendering, scripts, tests, README, and acceptance files before editing."
DVF-002,Config,Add viewport and fly-through config,"Add centralized tunable config values for camera FOV, detection range, target lock behavior, and fly-through success.","Add config fields without scattering magic numbers. Include horizontal_fov_deg, vertical_fov_deg, viewport_range, lock_memory_steps, intercept_radius, flythrough_plane_radius, min_closing_speed, require_los_for_pursuit_reward, and require_flythrough_success.",drone_env/envs/drone_intercept_3d.py or config module,DVF-001,All new constants are editable from one config object or clearly marked config section. Existing defaults still run.,python scripts/check_env.py,P0,done,Implemented in DroneIntercept3DConfig; check_env passed.
DVF-003,State,Track pursuer heading vector,Represent where the pursuer camera is pointing so field-of-view checks are meaningful.,"Add a normalized pursuer_heading vector to env state. For the MVP, derive heading from pursuer velocity when speed is above a small epsilon. If nearly stationary, keep the previous heading. Initialize heading toward the target on reset unless randomization is already configured.",drone_env/envs/drone_intercept_3d.py; tests,DVF-002,"Heading is always finite, normalized, and available in info/debug state. Stationary drone does not create NaNs.",pytest -q,P0,done,Implemented pursuer_heading state and info exposure; pytest passed.
DVF-004,Geometry,Implement safe vector helpers,"Add robust geometry utilities for normalization, angle checks, projection, and line-segment tests.","Create or update geometry helpers: safe_norm, safe_unit, angle_between_unit_vectors, point_in_cone_or_frustum, closest_point_on_segment, segment_sphere_intersection, and crossed_intercept_plane. Keep functions small and unit-testable.",drone_env/utils/geometry.py; tests/test_geometry.py,DVF-001,"Geometry helpers handle zero vectors without NaNs and have tests for normal, edge, and degenerate cases.",pytest -q tests/test_geometry.py,P0,done,Added helpers and geometry tests; pytest passed.
DVF-005,Viewport,Implement field-of-view detection,Determine whether the target is currently visible inside the pursuer drone camera viewport.,"Add a function that checks whether target relative position is inside the camera viewport using heading, horizontal/vertical FOV, max range, and optional occlusion placeholder. Start with a cone approximation if rectangular FOV is too much, but name it clearly.",drone_env/envs/drone_intercept_3d.py; drone_env/utils/geometry.py; tests,"DVF-003,DVF-004",info includes target_visible bool. Target in front and inside range is visible. Target behind pursuer is not visible. Target outside range is not visible.,pytest -q -k 'viewport or visibility or geometry',P0,done,Cone FOV is acceptable for MVP. Rectangular camera frustum can be a future upgrade.
DVF-006,Viewport,Add target lock memory,Allow short-term target memory after the target leaves view so the policy does not become unstable immediately.,"Track last_seen_target_pos, last_seen_target_vel, and steps_since_seen. If visible, refresh memory. If not visible, increment steps_since_seen. Implement lock_memory_steps as a configurable value.",drone_env/envs/drone_intercept_3d.py; tests,DVF-005,"info exposes target_visible, has_target_lock, steps_since_seen. Lock persists for configured steps then expires.",pytest -q -k 'lock or visible or viewport',P0,done,This mimics a practical camera/track pipeline without implementing computer vision.
DVF-007,Observation,Add viewport-aware observation mode,Make the agent search first instead of always receiving perfect target state.,"Add config observation_mode with values 'privileged' and 'viewport'. Keep privileged mode available for debugging/backward compatibility. In viewport mode, only expose target relative state when visible or locked; otherwise expose zeros or last-seen estimate plus visibility flags.",drone_env/envs/drone_intercept_3d.py; tests,DVF-006,Env passes check_env in both privileged and viewport observation modes. Observation shape is stable and finite.,python scripts/check_env.py && pytest -q -k 'observation or viewport',P0,done,Do not change observation shape every step. Stable shape is mandatory for RL.
DVF-008,Observation,Add visibility features to observation,Expose enough camera/search state for the agent to learn acquisition and pursuit.,"Add normalized features such as target_visible flag, has_target_lock flag, steps_since_seen normalized, angle_to_target normalized if visible/locked, and distance_to_last_seen normalized. Update observation_space shape and docs/tests.",drone_env/envs/drone_intercept_3d.py; README or docs; tests,DVF-007,Observation documentation matches actual vector. Tests assert expected shape and finite values. check_env passes.,python scripts/check_env.py && pytest -q,P0,done,This is where search behavior becomes learnable.
DVF-009,Interception,Replace distance-only capture with fly-through logic,"Success should mean the pursuer flies through the target, not just beside it.","Implement fly-through success using previous pursuer position, current pursuer position, target position, intercept_radius, and closing direction. Use segment-sphere intersection around the target or crossing a small target-centered plane/sphere. Require that the pursuer path segment passes through the target capture volume during the step.",drone_env/envs/drone_intercept_3d.py; drone_env/utils/geometry.py; tests,DVF-004,A step segment that passes through the target sphere succeeds even if final position overshoots. Merely flying next to the target without segment intersection does not succeed.,pytest -q -k 'flythrough or capture or intercept',P0,done,This directly fixes the current issue: flying next to the adversarial drone should not count as ideal success.
DVF-010,Interception,Add minimum closing-speed requirement,Prevent slow grazing or hovering near the target from counting as a strong fly-through intercept.,"Add optional min_closing_speed gate for fly-through success. Compute closing speed along target direction. Start with forgiving default, but include config to disable if needed.",drone_env/envs/drone_intercept_3d.py; tests,DVF-009,Fly-through with sufficient closing speed succeeds. Same geometry with very low closing speed can be rejected when the gate is enabled.,pytest -q -k 'closing or flythrough',P1,done,This encourages an actual intercept pass instead of slow side-hover behavior.
DVF-011,Reward,Add search/acquisition reward components,Reward finding the target with the viewport instead of assuming perfect awareness.,"Add reward components for first acquisition, maintaining visibility, and reacquiring after losing sight. Keep weights modest so the agent does not stare forever instead of intercepting.",drone_env/envs/drone_intercept_3d.py; reward docs/tests,"DVF-005,DVF-006","info['reward_breakdown'] includes first_acquisition_reward, visibility_reward, reacquisition_reward. These are nonzero only under correct visibility events.",pytest -q -k 'reward or visibility or acquisition',P0,done,Do not let visibility rewards dominate the final intercept reward.
DVF-012,Reward,Retune intercept reward for fly-through,Make fly-through the dominant success condition while preserving current good training behavior.,Rename or split capture_reward into flythrough_intercept_reward. Keep a compatibility alias in info if useful. Give the fly-through success a large reward and remove success reward from distance-only proximity.,drone_env/envs/drone_intercept_3d.py; reward weights CSV/docs; tests,"DVF-009,DVF-011",Distance-only near pass does not receive terminal success reward. True path-through-target event receives large positive terminal reward.,pytest -q -k 'reward or flythrough or capture',P0,done,"Keep dense progress rewards, but do not reward ending beside the target as success."
DVF-013,Reward,Add aim-through-target reward,Encourage the pursuer to line up its velocity vector so it passes through the target instead of sliding beside it.,Add a reward based on predicted closest approach from the current pursuer velocity segment/ray to the target. Reward lower miss distance when target is visible or locked. Clamp it tightly.,drone_env/envs/drone_intercept_3d.py; drone_env/utils/geometry.py; tests,"DVF-004,DVF-009",Reward is higher when projected path goes through or near the target and lower when moving parallel beside it.,pytest -q -k 'aim or miss or reward',P1,done,This is the main shaping term to fix the side-by-side behavior.
DVF-014,Reward,Add lost-target penalty,Encourage the drone to search effectively and not ignore camera visibility.,Add a small penalty when target is not visible and lock has expired. Keep it small enough that exploration still occurs.,drone_env/envs/drone_intercept_3d.py; tests,"DVF-006,DVF-011",lost_target_penalty appears in reward_breakdown and triggers only when no visibility and no lock.,pytest -q -k 'lost or target or reward',P1,done,This nudges search behavior without punishing necessary turns too hard.
DVF-015,Reward,Update reward breakdown schema,Make reward debugging explicit and stable.,Update info['reward_breakdown'] to include old core rewards plus new viewport/fly-through components. Add tests to ensure all expected keys exist.,drone_env/envs/drone_intercept_3d.py; tests,"DVF-011,DVF-012,DVF-013,DVF-014",Reward breakdown contains all expected keys every step. No conditional missing keys.,pytest -q -k 'reward_breakdown',P0,done,Stable info keys make debugging training curves much easier.
DVF-016,Rendering,Render camera viewport,Visualize what the pursuer drone can currently see.,Extend lightweight pygame renderer to draw the pursuer heading ray and approximate camera FOV cone/frustum. Keep it cheap and understandable. Do not add heavy 3D dependencies.,drone_env/utils/rendering.py or env render code; tests if rgb_array exists,DVF-005,"Human render clearly shows pursuer, target, heading direction, and viewport cone/frustum. Existing render still works.",python scripts/manual_policy_demo.py --render,P1,done,This helps visually confirm search and target acquisition.
DVF-017,Rendering,Render visibility and lock status,Make search/acquisition state obvious during visualization.,"Add HUD text for target_visible, has_target_lock, steps_since_seen, distance, and flythrough_ready if implemented.",drone_env/utils/rendering.py or env render code,"DVF-006,DVF-016",Render HUD updates every step and does not crash in human mode.,python scripts/manual_policy_demo.py --render,P2,done,Debugging RL without visual state is painful. Make it visible.
DVF-018,Rendering,Render fly-through event,Make successful intercepts visually obvious.,"When fly-through success occurs, show a short visual marker or terminal HUD message. If rgb_array is implemented, keep it compatible.",drone_env/utils/rendering.py or env render code,"DVF-009,DVF-016",A successful fly-through displays a clear marker/message before closing or in final frame.,python scripts/manual_policy_demo.py --render,P2,done,"Optional polish, but useful for demos."
DVF-019,Scripts,Add viewport search demo script,"Create a simple demo that shows search, acquisition, pursuit, and fly-through attempt.","Add scripts/viewport_search_demo.py. Use a simple hand-coded policy: if target visible/locked, fly toward target/last-seen; otherwise perform a sweeping search pattern. Support --render and target_mode options.",scripts/viewport_search_demo.py,"DVF-006,DVF-007,DVF-009","Script runs without training and prints whether target was acquired, reacquired, and fly-through intercepted.",python scripts/viewport_search_demo.py --target-mode straight,P1,done,This is a sanity check before using RL training.
DVF-020,Scripts,Add fly-through regression demo,Create a deterministic script proving beside-the-target is different from through-the-target.,Add scripts/flythrough_regression_demo.py that runs two controlled scenarios: side pass should fail; direct path through target should succeed. Print outcome clearly.,scripts/flythrough_regression_demo.py,"DVF-009,DVF-012",Script prints PASS for direct fly-through success and PASS for side-pass rejection.,python scripts/flythrough_regression_demo.py,P0,done,This protects against accidentally reintroducing proximity-only success.
DVF-021,Tests,Test target outside viewport hidden,Verify viewport observation prevents omniscient target tracking.,Add a test where the target is behind or outside FOV/range. Assert target_visible is false and viewport observation does not expose fresh perfect target relative state.,tests/test_viewport.py,"DVF-005,DVF-007",Test fails before viewport logic and passes after implementation.,pytest -q tests/test_viewport.py,P0,done,This is the core search behavior test.
