Reward ID,Component,Formula,Weight,Clamp/Range,Purpose,Tuning Notes
R001,capture_reward,+100.0 if captured else 0.0,100.0,N/A,Make successful interception the main objective.,Keep large enough that shaping cannot beat capture.
R002,distance_progress_reward,"4.0 * clip(previous_distance - current_distance, -5.0, 5.0)",4.0,"[-20.0, 20.0] after scaling",Dense learning signal for moving closer.,"If agent oscillates, reduce; if it never learns early, increase slightly."
R003,distance_penalty,-0.03 * current_distance,-0.03,Depends on arena,Encourage staying near target.,Avoid making this so strong that agent ignores safety.
R004,time_penalty,-0.05,-0.05,Constant,Encourage fast interception.,"If training becomes too negative early, reduce to -0.01."
R005,alignment_reward,"1.5 * cosine_similarity(pursuer_velocity, direction_to_target)",1.5,"[-1.5, 1.5]",Reward moving toward target.,Use safe zero-velocity handling.
R006,closing_speed_reward,0.5 * closing_speed,0.5,Clamp reasonable bounds,Reward actual relative motion that closes distance.,Great for interception; tune carefully if target evasive behavior changes.
R007,energy_penalty,-0.02 * ||action||^2,-0.02,"[-0.06, 0.0] for 3D unit action",Discourage constant max-throttle jitter.,Do not over-penalize early training.
R008,smoothness_penalty,-0.01 * ||action - previous_action||^2,-0.01,"Approx [-0.12, 0.0]",Encourage stable drone-like control.,Increase only after the agent can intercept.
R009,altitude_penalty,-2.0 * unsafe_z_distance outside safe altitude band,-2.0,0 or negative,Avoid floor-skimming and ceiling-hugging.,"Safe range defaults to z in [2, world_z - 2]."
R010,safety_failure_penalty,-100.0 if crashed; -75.0 if out_of_bounds,-100/-75,Terminal penalty,Hard discourage invalid flight.,Crash should be as bad or worse than missing capture.
